movie_id,movie_name,release_date,genre,mpaa,open_theater,prod_budget,country_usa,opening_weekend,us_total_gross,user_rating,votes_user,metascore,votes_critic,MPAA1,MPAA2,MPAA3,MPAA4,MPAA5,MPAA6,genre_type
644,Hansel and Gretel: Witch Hunters,1/25/2013,Action Comedy,R,3.372,50,1,19.690956,55.68207,6.1,135.892,21,26,0,0,0,0,1,0,4
645,A Haunted House,1/11/2013,Comedy,R,2.16,2,1,18.101682,40.041683,5,29.31,20,26,0,0,0,0,1,0,4
649,Her (2013),12/18/2013,Comedy / Drama,R,.006,23,1,.260382,25.556065,8,263.242,90,36,0,0,0,0,1,0,4
654,Homefront,11/27/2013,Action Thriller,R,2.57,22,1,6.915241,19.783777,6.5,66.864,40,30,0,0,0,0,1,0,6
657,The Hunger Games: Catching Fire,11/22/2013,Action / Adventure,PG-13,4.163,130,1,158.074286,424.645577,7.7,394.544,75,14,0,0,0,1,0,0,1
660,Identity Thief,2/8/2013,Comedy,R,3.141,35,1,34.551025,134.455175,5.7,80.65300000000001,35,1,0,0,0,0,1,0,4
664,The Incredible Burt Wonderstone,3/15/2013,Comedy,PG-13,3.16,30,1,10.177257,22.525921,5.9,53.96,44,25,0,0,0,1,0,0,4
666,Inside Llewyn Davis,12/6/2013,Comedy / Drama,R,.004,11,1,.405411,13.214255,7.5,69.999,92,14,0,0,0,0,1,0,4
667,Insidious Chapter 2,9/13/2013,Horror,PG-13,3.049,5,1,40.272103,83.574831,6.6,76.336,40,28,0,0,0,1,0,0,6
671,The Internship,6/7/2013,Comedy,PG-13,3.366,58,1,17.325307,44.665963,6.3,134.598,42,3,0,0,0,1,0,0,4
673,Iron Man 3,5/3/2013,Action / Adventure,PG-13,4.253,200,1,174.144585,408.992272,7.3,441.033,62,3,0,0,0,1,0,0,1
674,Jack the Giant Slayer,3/1/2013,Adventure,PG-13,3.525,195,1,27.202226,65.17186,6.3,91.62,51,14,0,0,0,1,0,0,2
675,Jackass Presents: Bad Grandpa,10/25/2013,Comedy,R,3.336,15,1,32.055177,101.97884,6.6,68.199,54,10,0,0,0,0,1,0,4
677,Jobs,8/16/2013,Drama,PG-13,2.381,12,1,6.7139,16.117443,5.9,62.399,44,14,0,0,0,1,0,0,5
682,Kick-Ass 2,8/16/2013,Action Comedy,R,2.94,28,1,13.332955,28.751715,6.7,161.316,41,22,0,0,0,0,1,0,4
684,Kon-Tiki,4/26/2013,Foreign,PG-13,.002,16.6,0,.022168,1.511798,7.3,27.925,62,8,0,0,0,1,0,0,7
686,The Last Exorcism Part II,3/1/2013,Horror,PG-13,2.7,5,1,7.728354,15.152879,3.9,11.792,35,30,0,0,0,1,0,0,6
688,The Last Stand,1/18/2013,Action,R,2.913,30,1,6.281433,12.02667,6.4,101.406,54,24,0,0,0,0,1,0,1
689,Last Vegas,11/1/2013,Comedy,PG-13,3.065,28,1,16.334566,63.910583,6.7,89.303,48,9,0,0,0,1,0,0,4
692,Lee Daniels The Butler,8/16/2013,Drama,PG-13,2.933,30,1,24.637312,116.63131,7.1,70.946,66,1,0,0,0,1,0,0,5
695,Lone Survivor,12/25/2013,Action Drama,R,.002,40,1,.084857,125.069696,7.6,155.784,60,8,0,0,0,0,1,0,5
697,The Lords of Salem,4/19/2013,Horror,R,.354,2.5,1,.642,1.163508,5.1,16.865,57,40,0,0,0,0,1,0,6
703,Machete Kills,10/11/2013,Action,R,2.538,12,1,3.837183,7.268659,5.7,47.303,41,14,0,0,0,0,1,0,1
705,Mama,1/18/2013,Horror,PG-13,2.647,20,0,28.40231,71.58822000000001,6.2,109.517,57,5,0,0,0,1,0,0,6
706,Man of Steel,6/14/2013,Action / Adventure,PG-13,4.207,225,1,116.619362,291.021565,7.3,445.946,55,14,0,0,0,1,0,0,1
707,Mandela: Long Walk to Freedom,11/29/2013,Drama,PG-13,.004,35,0,.084283,8.324748,7.1,16.685,60,30,0,0,0,1,0,0,5
708,Metallica Through the Never,9/27/2013,Drama,R,.305,18,1,1.672,3.419967,7.3,11.192,61,36,0,0,0,0,1,0,5
709,Monsters University,6/21/2013,Animation,G,4.004,200,1,82.429469,268.488329,7.4,181.524,65,3,1,0,0,0,0,0,3
712,Movie 43,1/25/2013,Comedy,R,2.023,6,1,4.805878,8.828771,4.4,68.054,18,30,0,0,0,0,1,0,4
715,Nebraska,11/15/2013,Comedy / Drama,R,.004,12,1,.140401,17.61346,7.8,73.40300000000001,86,22,0,0,0,0,1,0,4
716,No One Lives,5/10/2013,Horror,R,.053,2.9,1,.047798,.07214,5.9,10.702,26,56,0,0,0,0,1,0,6
720,Oblivion,4/19/2013,Sci-Fi Adventure,PG-13,3.783,120,1,37.054485,89.02173500000001,7,310.9,54,1,0,0,0,1,0,0,2
723,Olympus Has Fallen,3/22/2013,Thriller,R,3.098,70,1,30.373794,98.89541699999999,6.5,165.364,41,28,0,0,0,0,1,0,6
724,One Direction: This is Us,8/30/2013,Concert,PG,2.735,10,1,18.472875,28.873374,4,21.043,49,56,0,0,1,0,0,0,7
726,Out of the Furnace,12/4/2013,Thriller,R,.004,22,1,5.220288,11.326836,6.8,66.56399999999999,63,30,0,0,0,0,1,0,6
727,Oz The Great and Powerful,3/8/2013,Adventure,PG,3.912,215,1,79.11045300000001,234.903076,6.4,159.379,44,5,0,0,1,0,0,0,2
728,Pacific Rim,7/12/2013,Sci-Fi Action,PG-13,3.275,190,1,37.285325,101.785482,7,311.118,64,22,0,0,0,1,0,0,1
732,Paranoia,8/16/2013,Thriller,PG-13,2.459,35,1,3.528376,7.376027,5.6,23.065,32,24,0,0,0,1,0,0,6
733,Parker,1/25/2013,Action / Crime,R,2.224,35,1,7.008222,17.609982,6.2,74.842,42,1,0,0,0,0,1,0,1
